"symbol","direction","sources","description"
"Zfp36","Up","LH, DMH, ARC","zinc finger protein 36"
"Apcdd1","Up","LH, DMH","adenomatosis polyposis coli down-regulated 1"
"Armh3","Up","LH, ARC","armadillo-like helical domain containing 3"
"Clec2l","Up","LH, DMH","C-type lectin domain family 2, member L"
"Cpne1","Up","LH, ARC","copine I"
"Ebpl","Up","LH, ARC","emopamil binding protein-like"
"Ecpas","Up","LH, ARC","Ecm29 proteasome adaptor and scaffold"
"Entpd3","Up","LH, DMH","ectonucleoside triphosphate diphosphohydrolase 3"
"Gpc1","Up","LH, DMH","glypican 1"
"Ltbr","Up","DMH, ARC","lymphotoxin B receptor"
"Mrpl3","Up","DMH, ARC","mitochondrial ribosomal protein L3"
"Mtmr10","Up","LH, DMH","myotubularin related protein 10"
"Nek8","Up","LH, ARC","NIMA (never in mitosis gene a)-related expressed kinase 8"
"Npr1","Up","LH, DMH","natriuretic peptide receptor 1"
"Sprn","Up","LH, DMH","shadow of prion protein"
"Tchh","Up","LH, ARC","trichohyalin"
"Angptl4","Down","LH, ARC","angiopoietin-like 4"
"Aopep","Down","DMH, ARC","aminopeptidase O"
"Ccdc18","Down","LH, DMH","coiled-coil domain containing 18"
"Clk1","Down","LH, DMH","CDC-like kinase 1"
"Fos","Down","LH, ARC","FBJ osteosarcoma oncogene"
"Hmgn5","Down","LH, DMH","high-mobility group nucleosome binding domain 5"
"Icam2","Down","LH, ARC","intercellular adhesion molecule 2"
"Med9","Down","DMH, ARC","mediator complex subunit 9"
"Nek3","Down","DMH, ARC","NIMA (never in mitosis gene a)-related expressed kinase 3"
"Nt5c2","Down","LH, DMH","5'-nucleotidase, cytosolic II"
"Parp12","Down","LH, ARC","poly (ADP-ribose) polymerase family, member 12"
"Pex12","Down","LH, DMH","peroxisomal biogenesis factor 12"
"Rad23a","Down","LH, DMH","RAD23 homolog A, nucleotide excision repair protein"
"Rspry1","Down","DMH, ARC","ring finger and SPRY domain containing 1"
"Smim15","Down","LH, DMH","small integral membrane protein 15"
"Steap1","Down","DMH, ARC","six transmembrane epithelial antigen of the prostate 1"
"Tent5a","Down","DMH, ARC","terminal nucleotidyltransferase 5A"
"Tut1","Down","DMH, ARC","terminal uridylyl transferase 1, U6 snRNA-specific"
